name,aliases,plx,plxerr,ref_plx,pmra,pmraerr,pmdec,pmdecerr,ref_pm,dist,disterr,dist_notes,spt,sptnum,ref_spt,age,sep,seperr,pa,paerr,offset_ew,offseterr_ew,offset_ns,offseterr_ns,epoch_astrometry,ref_astrometry,name_simbad
2MASS J07290002-3954043,,110.8,1.5,2024ApJS..271...55K,-564.46,0.33,1694.63,0.31,2024ApJS..271...55K,,,,,,,,,,,,,,,,,,
HD 65216BC,,,,,,,,,,,,,,,,,,,,,,,,,,,HD 65216B
CWISE J075831.11+571153.9,,,,,,,,,,,,,T6.5,26.5,2025ApJ...982...79B,,,,,,,,,,,,
SSSPM J0829-1309,DENIS-P J0828343-130919,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 72946 B,,,,,,,,,,,,,,,,,0.2357,0.002,33.65,0.31,,,,,2019-03-21,2020A&A...633L...2M,
eta Pyx B,,,,,,,,,,,,,M6-M8,7,2012A&A...544A...9V,,3.176,0.007,11.52,0.12,,,,,2009-12-20,2012A&A...544A...9V,
HR 3549 B,,,,,,,,,,,,,,,,,,,,,0.333,0.009,-0.806,0.009,2013-01-13,2015ApJ...811..103M,
LP 368-128,LHS 2090,,,,,,,,,,,,,,,,,,,,,,,,,,
Gl 337CD,HIP 45170 CD,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J09153413+0422045,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J09153413+0422045
