name,sptnum_pri,sptnumerr_pri,sptnum_sec,sptnumerr_sec,sptnum_ter,sptnumerr_ter,ref_spt,mass_pri,masserr_pri,mass_sec,masserr_sec,ref_mass,sep_bin,seperr_bin,pa_bin,paerr_bin,offset_ew_bin,offseterr_ew_bin,offset_ns_bin,offseterr_ns_bin,sep_tri,seperr_tri,pa_tri,paerr_tri,epoch_astrometry,ref_astrometry
2MASS J05351404-0525499,,,,,,,,0.1,0.015,0.063,0.007,2022ApJ...925..112D,52,9,280,1.6,,,,,,,,,,2022ApJ...925..112D
2MASS J05351624-0528337,,,,,,,,,,,,,170,6,183,0.9,,,,,,,,,,2022ApJ...925..112D
2MASS J05351676-0517167,,,,,,,,0.093,0.006,0.05,0.003,2022ApJ...925..112D,270,6,265,1.2,,,,,,,,,,2022ApJ...925..112D
2MASS J05352184-0546085,6.5,,6.5,,,,2006Natur.440..311S,,,,,,,,,,,,,,,,,,,
G 100-28,6,,6.5,,,,2024ApJS..271...55K,0.2,0.04,0.13,0.02,2014ApJ...789..102J,557,6,323.7,0.3,,,,,,,,,2011-11-11,2014ApJ...789..102J
2MASS J05431887+6422528,,,,,,,,,,,,,655.37,3.39,320.14,0.24,,,,,,,,,2014-01-22,2017MNRAS.468.3499D
DENIS J055146.0-443412,,,,,,,,,,,,,2200,50,358.6,,,,,,,,,,,
WISEPA J061135.13-041024.0,,,,,,,,,,,,,,,,,-184.4,6.5,353.4,3.2,,,,,2012-04-15,2014AJ....148....6G
WISEPA J061213.93-303612.7,26,,26,,,,2015A&A...578A...1H,,,,,,350,5,235,1,,,,,,,,,,
CWISE J061741.79+194512.8,12,,14,,,,2023RNAAS...7..184H,,,,,,1310,140,315,,,,,,,,,,,2023RNAAS...7..184H;2021ApJS..253....7K
DENIS-P J0630014-184014,8.5,,17,,,,2021MNRAS.500.5453S,,,,,,36.6,1.3,291.5,1.2,,,,,,,,,2017-03-10,2021MNRAS.500.5453S
2MASS J06524851-5741376,,,,,,,,,,,,,228,6,233.1,1.7,,,,,,,,,2006-01-08,2012A&A...548A..33C
2MASS J07003664+3157266,,,,,,,,,,,,,170,,102,,,,,,,,,,,
SCR J0702-6102,6.5,,6.5,,,,2024ApJS..271...55K,,,,,,75.3,,26.5,,,,,,,,,,2019-11-10,2022AJ....163..178V
LHS 1901,,,,,,,,,,,,,275,5,208,0.5,,,,,,,,,2004-01-08,2006A&A...460L..19M
WISE J072003.20-084651.2,,,,,,,,,,,,,188,5,256,0.7,,,,,,,,,2015-01-14,2019AJ....158..174D
2MASSI J0746425+200032,,,,,,,,,,,,,220,,15,,,,,,,,,,2000-04-15,
HD 65216BC,7.5,0.5,12.5,0.5,,,2007MNRAS.378.1328M,,,,,,190,40,236,11,,,,,,,,,2002-12-21,2007A&A...474..273E
2MASS J08381155+1511155,,,,,,,,,,,,,549,1,18.8,0.1,,,,,50.2,0.5,-6,2,,2013ApJ...778...36R
2MASSW J0850359+105716,,,,,,,,,,,,,160,,250,,,,,,,,,,2000-02-01,
2MASSI J0856479+223518,13,,19.5,,,,2013ApJ...778...36R,,,,,,98,9,275,2,,,,,,,,,,
2MASS J09033514-0637336,,,,,,,,,,,,,1140,20,239.3,1,,,,,,,,,,2018ApJS..234....1B
Gl 337CD,,,,,,,,,,,,,530,30,291,8,,,,,,,,,,
2MASS J09153413+0422045,17,,17.5,,,,2013ApJ...778...36R,,,,,,730,,-155,,,,,,,,,,,
2MASSW J0920122+351742,,,,,,,,,,,,,70,,90,,,,,,,,,,2000-02-09,
SDSSp J092615.38+584720.9,,,,,,,,,,,,,70,6,132.9,1.9,,,,,,,,,2004-02-05,
2MASS J09522188-1924319,7,,7,,,,2020ApJ...889..176F,,,,,,,,,,,,,,,,,,,
DENIS-P J100428.3-114648,,,,,,,,,,,,,146,2.8,304.5,1.2,,,,,,,,,2000-10-27,2003AJ....126.1526B
2MASSI J1017075+130839,,,,,,,,,,,,,104,2.8,92.6,1.2,,,,,,,,,2001-04-16,
2MASS J10172689-5354265,,,,,,,,,,,,,,,,,99,3,-17,3,,,,,2004-03-05,2009A&A...506..799B
SDSS J102109.69-030420.1,,,,,,,,,,,,,172,5,244.6,0.8,,,,,,,,,2004-05-22,
LP 213-67,,,,,,,,,,,,,32,2,126.77,4.44,,,,,,,,,2006-06-21,2010ApJ...711.1087K
LP 213-68,,,,,,,,,,,,,122,8,328.36,3.75,,,,,,,,,2002-04-25,2003ApJ...587..407C
Luhman 16,,,,,,,,,,,,,,,,,-1042.56,1.41,1002.32,2.03,,,,,2013-04-15,2017ApJ...846...97G
SDSS J105213.51+442255.7,,,,,,,,,,,,,42.4,0.7,81.1,1.7,,,,,,,,,2005-05-01,2015ApJ...805...56D
2MASSI J1059513-211308,10.6,,23.4,,,,2014ApJ...794..143B,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383,,,,,,,,,,,,,1440,,30,,,,,,,,,,,
Gl 417BC,,,,,,,,,,,,,70,2.8,79.6,1.2,,,,,,,,,2001-02-14,
2MASS J11193254-1137466,,,,,,,,,,,,,138.1,0.1,239.08,0.07,,,,,,,,,2017-03-18,2017ApJ...843L...4B
